Identificação do post,Identificação da conta,Nome de usuário da conta,Nome da conta,Descrição,Duração (s),Horário de publicação,Link permanente,Tipo de post,Comentário de dados,Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,Comentários,Salvamentos,Transcrição,descricao_visual,taxa_engajamento,viral
17858742780493468,17841477084281345,centraldosfatos,CENTRAL DOS FATOS - Curiosidades e Fatos,"Em 2009, o Oscar viveu um dos momentos mais emocionantes da história: Heath Ledger recebeu, de forma póstuma, o prêmio de Melhor Ator Coadjuvante por sua atuação como Coringa em 'The Dark Knight'. Sua família subiu ao palco em homenagem, emocionando o mundo inteiro. 

A performance de Ledger redefiniu o personagem, trazendo profundidade psicológica rara ao cinema. Mais do que um prêmio, foi um tributo a um talento inesquecível. Gostou dessa lembrança? Siga e salve para mais histórias do cinema!

#heathledger #cinema #oscar #coringa #hollywood #curiosidades #historia #reelsbrasil",17,09/07/2025 18:05,https://www.instagram.com/reel/DOUnmrMAXp-/,Reel do Instagram,,Total,3192548,1892618,306393,3917,2793,273,9895,,"1. O tema principal é uma homenagem a um vilão lendário no contexto do Oscar.
2. Visualmente, o público está atento, com expressões sérias e focadas.
3. Transmite admiração e reconhecimento por uma atuação icônica no cinema, sendo um conteúdo de entretenimento.",0.16410231753053178,1
17871736854526710,17841477084281345,centraldosfatos,CENTRAL DOS FATOS - Curiosidades e Fatos,"O Nissan GT-R Nismo, um dos carros esportivos mais icônicos do mundo, ganha destaque por sua impressionante capacidade de performance e tecnologia de ponta. Este supercarro, que não apenas participa de corridas, mas domina as pistas, está redefinindo os padrões de velocidade e design automotivo.

Nós informamos que o modelo 2023 traz uma série de melhorias, incluindo aerodinâmica aprimorada e um motor ainda mais potente, consolidando sua posição como líder no segmento de alto desempenho. Especialistas do setor afirmam que o GT-R Nismo é mais que um carro; é uma experiência visceral que intimida até os corredores mais experientes.

Acompanhe nossa cobertura completa para saber mais sobre as inovações e o impacto do Nissan GT-R Nismo no mercado global de automóveis.

Para mais notícias ➡️ @centraldosfatos
#noticia #mundo #informacao #atualidade #hoje #automoveis #nissan #esportivos",73,01/23/2026 18:49,https://www.instagram.com/reel/DT4JKeVDEiM/,Reel do Instagram,,Total,20251,17844,2642,167,51,5,122,"Quem foi o maluco na Nissan que acordou e falou, e se a gente criasse um carro para humilhar supercarro e ainda vender como se fosse normal? Porque assim, parece só um Nissan, né? Quatro rodas, dois bancos, volante, ah, só 600 cavalos, tração integral, motor feito à mão, nada demais. Carro de ir no mercado, pô. Aí tu pisa. E não é aceleração, é um evento traumático. O carro não anda, ele te puxa pelo espírito. Parece que alguém deu um tapa na tua alma e falou, vai! É tipo tropeçar na escada, só que a escada tá vindo a 300 por hora. Seu cérebro fala merda e o carro responde, relaxa, confia no pai. O GTR Nismo é aquele amigo psicopata, quieto, educado. Mas quando bebe, quer brigar com todo mundo. Ele não faz barulho pra aparecer, ele faz barulho pra avisar. O motor é montado à mão por um único engenheiro no Japão. O Nismo tem peças de fibra de carbono pra perder peso até onde dá. Ele foi feito pra pista, mas anda na rua como se fosse erro de sistema. E sim, ele foi criado pra caçar Porsche e Ferraris sem pedir desculpa. Esse carro não quer carinho, ele quer pista. Quer curva, quer te lembrar que limite é psicológico. O GTR Nismo prova uma coisa, não é sobre ser bonito, é sobre ser respeitado. E respeito, meu amigo, se conquista assustando. Se não seguir o zelo, seu pneu vai furar amanhã.","1. O tema principal é a potência do Nissan GT-R Nismo.
2. Visualmente, o vídeo destaca a frente do carro, com um sticker animado e texto chamando a atenção.
3. A mensagem transmite admiração pela força do veículo, com um toque de humor; o conteúdo é voltado para o entretenimento automotivo.",0.15770006724949562,1
17938036044114975,17841477084281345,centraldosfatos,CENTRAL DOS FATOS - Curiosidades e Fatos,"Lewis Hamilton demonstrou mais uma vez por que é um dos maiores pilotos da história da Fórmula 1 ao completar uma volta impecável em recente competição. O piloto britânico, já coroado sete vezes campeão mundial, mostrou precisão e talento ao dominar cada curva e reta da pista. Essa performance destaca sua posição de destaque no automobilismo mundial.

Nós informamos que o feito de Hamilton não só reafirma sua habilidade única, mas também o consolida como uma lenda viva do esporte. Sua capacidade de extrair o máximo do carro e sua concentração inabalável são qualidades que inspiram tanto fãs quanto novos pilotos. Acompanhe nossa cobertura para mais detalhes e análises sobre esta atuação impressionante.

Para mais notícias ➡️ @centraldosfatos
#noticia #mundo #informacao #atualidade #hoje #F1 #LewisHamilton #esporte",61,01/23/2026 18:59,https://www.instagram.com/reel/DT4KUY5kn6L/,Reel do Instagram,,Total,20964,17077,2460,92,13,15,96,,"1. O tema principal é a performance impressionante de Lewis Hamilton na Fórmula 1.
2. Visualmente, vemos a perspectiva a partir do cockpit de um carro de corrida em alta velocidade na pista.
3. Transmite uma sensação de emoção e habilidade extrema.
4. O conteúdo é de entretenimento esportivo.",0.15031914270656438,1
18019358975758824,17841477084281345,centraldosfatos,CENTRAL DOS FATOS - Curiosidades e Fatos,"O que acontece quando você coloca o auge da engenharia automotiva frente a frente? De um lado, o Bugatti Chiron, que representa a perfeição em potência, luxo e desempenho. Do outro, o Koenigsegg Jesko, um hipercarro construído especificamente para quebrar recordes e redefinir o que a velocidade significa. Esta batalha titânica entre duas das marcas mais renomadas do mundo foi criada para acabar com o debate de qual é o carro mais rápido.

A corrida provou algo ainda mais importante: o que realmente diferencia essas máquinas é o nível de engenharia e a dedicação de cada marca. A disputa não só intensificou a rivalidade, mas também mostrou por que o Chiron e o Jesko não são apenas carros, mas verdadeiros expoentes da inovação e do design. Essa busca incansável pela velocidade e pelo limite da tecnologia é o que coloca a Bugatti e a Koenigsegg em uma categoria própria.

Se você ama carros e tecnologia, salve este vídeo e siga para não perder mais duelos épicos!

#bugatti #koenigsegg #chiron #jesko #hypercar #dragrace #engenharia #tecnologia",58,09/29/2025 18:45,https://www.instagram.com/reel/DPNVsVhDhSz/,Reel do Instagram,,Total,3072,2057,273,31,2,0,7,Hold your breath and count to ten. Feel the earth move and then. My heart is breaking through again. I'm drowned in joy. Let the sky fall when it crumbles.,"1. O tema principal é uma corrida entre carros esportivos de alta performance.
2. Visualmente, dois carros estão em alta velocidade em uma pista, lado a lado.
3. A emoção transmitida é de adrenalina e competição, e o conteúdo é de entretenimento.",0.14778804083616917,1
18418229380099958,17841477084281345,centraldosfatos,CENTRAL DOS FATOS - Curiosidades e Fatos,"Doha, 17/11/2010: Brasil x Argentina em amistoso com sabor de espetáculo. Ronaldinho de volta após mais de um ano, Neymar despontando — e lances que lembravam futebol de rua em palco mundial. O gol foi deles? Não. Mas a dupla transformou minutos em memória.
Entre passes de calcanhar e dribles insolentes, ficou a sensação de ponte entre gerações: o craque consagrado entregando magia, o garoto assumindo o palco. Salve para rever essa química em campo e siga para mais capítulos que o placar não conta.

#futebol #brasil #argentina #ronaldinho #neymar #amistoso #selecao",43,09/14/2025 20:38,https://www.instagram.com/reel/DOm6ohpjf5C/,Reel do Instagram,,Total,5365,4112,571,35,4,1,5,"Todo mundo devia nessa história se ligar! Buri! Esquecemos atrito, deixar a briga pra lá. Solta o rap deejay! Era só mais um Silva que a estrela não brilha. Ele era funkeiro, mas era pai de família. Era só mais um Silva que a estrela não brilha. Ele era funkeiro, mas era pai de família. Era um domingo de sol, ele saiu de manhã pra jogar seu futebol, deu uma rosa pra irmã.","1. O tema principal é uma partida de futebol entre Brasil e Argentina.
2. Visualmente, dois jogadores brasileiros estão com a bola no centro do campo, prontos para jogar.
3. Transmite uma sensação de nostalgia e diversão, destacando a habilidade dos jogadores. 
4. Trata-se de conteúdo de entretenimento esportivo.",0.14761673151750973,1
18134397556452375,17841477084281345,centraldosfatos,CENTRAL DOS FATOS - Curiosidades e Fatos,"Um motor rotativo de cinco rotores, descrito como ""uma violência mecânica criada por precisão"", desafia os limites da engenharia automotiva. Este projeto extremo, que se diferencia por sua capacidade de girar mais suavemente e acelerar mais rapidamente do que motores de pistão convencionais, foi apresentado pela equipe @mazzei_formula. A complexidade em equilibrar, resfriar, lubrificar e sincronizar uma configuração multi-rotor torna essa criação um marco além da icônica herança de quatro rotores da Mazda.

Nós informamos que esta inovação não é apenas um espetáculo sonoro, comparado ao som de uma turbina, mas também uma demonstração de ousadia técnica e maestria de engenharia. Para mais detalhes sobre este avanço impressionante, continue acompanhando nossa cobertura.

Para mais notícias ➡️ @centraldosfatos
#noticia #mundo #informacao #atualidade #hoje #tecnologia #engenharia",10,02/02/2026 13:28,https://www.instagram.com/reel/DURUZkxjVSO/,Reel do Instagram,,Total,66421,39068,5249,439,36,13,214,,"1. O tema principal é inovação em engenharia automotiva.
2. Visualmente, um carro equipado com um motor rotativo de cinco rotores está sendo testado em uma bancada de dinamômetro.
3. Transmite uma sensação de tecnologia avançada e performance de alto nível.
4. É um conteúdo tecnológico com foco em inovações automotivas.",0.14592505375243164,1
18130585036462722,17841477084281345,centraldosfatos,CENTRAL DOS FATOS - Curiosidades e Fatos,"Você não ouve apenas o Mazda 787B, você o sente. O som de seu motor rotativo de 4 rotores é tão único que se tornou lendário no automobilismo. Diferente dos motores a pistão convencionais, o motor rotativo gira em um movimento contínuo, disparando com uma frequência inigualável e produzindo um som tão agudo que já foi descrito como música mecânica.

Essa singularidade técnica é a razão pela qual o 787B se tornou o único carro com motor rotativo a vencer as 24 Horas de Le Mans, cimentando seu lugar na história das corridas. O motor Wankel da Mazda é um exemplo de como a engenharia pode desafiar o convencional e criar uma máquina com desempenho e identidade inconfundíveis, capaz de marcar gerações.

Quer ver mais inovações do mundo automotivo? Siga para mais conteúdo.

#mazda #787b #motorrotativo #lemans #automobilismo #engenharia #tecnologia",30,09/29/2025 18:36,https://www.instagram.com/reel/DPNUq88Em-v/,Reel do Instagram,,Total,3654,2871,369,43,2,0,12,,"1. O tema principal é o som único do motor rotativo do Mazda 787B.
2. Pessoas estão observando e filmando uma pista, possivelmente esperando o carro passar.
3. Transmite entusiasmo e fascínio por carros de corrida, destacando um aspecto técnico.
4. O conteúdo é de entretenimento automotivo.",0.14350400557297108,1
17859834384494869,17841477084281345,centraldosfatos,CENTRAL DOS FATOS - Curiosidades e Fatos,"Em 23/06/2018, a seleção do Panamá viveu seu gol mais emblemático: Felipe Baloy, aos 37 anos, entrou no segundo tempo contra a Inglaterra e, aos 78’, completou o cruzamento para marcar o primeiro gol panamenho em Copas. O placar ainda mostrava 6–1, mas o significado ia muito além do resultado: nas arquibancadas e no país, a comemoração parecia título.
O lance virou símbolo de “panamania”: quando um único gol une quatro milhões de pessoas em orgulho e esperança. É a prova de que, no futebol, contexto importa tanto quanto o placar — e certos momentos viram memória coletiva. Salve para lembrar como um detalhe muda a história e siga para mais curiosidades do esporte!

#futebol #copadomundo #panama #inglaterra #historia #esportes #curiosidades",20,09/14/2025 20:39,https://www.instagram.com/reel/DOm60EfjZCC/,Reel do Instagram,,Total,2805,1801,255,3,1,0,3,,"1. O tema principal é a celebração do Panamá em uma Copa do Mundo.
2. Visualmente, há uma imagem de placar em um estádio de futebol, destacando um momento do jogo entre Inglaterra e Panamá.
3. A mensagem transmite alegria e orgulho, mesmo em um contexto de derrota, celebrando uma conquista histórica para o Panamá.
4. É um conteúdo de entretenimento e esportes.",0.14325374791782344,1
17990598098814634,17841477084281345,centraldosfatos,CENTRAL DOS FATOS - Curiosidades e Fatos,"Na Copa do Mundo de 2006, Portugal enfrentou a Inglaterra pelas quartas e levou a decisão para os pênaltis após empate sem gols. Cristiano Ronaldo, então com 21 anos, marcou o último e garantiu a vaga na semifinal. 

O gol teve sabor especial: foi dedicado ao pai, falecido em 2005, que sonhava em vê-lo jogar uma Copa. Mais que classificação, foi um gesto de amor e memória. Um marco na trajetória de CR7 com a seleção. Gostou dessa lembrança? Salve e siga para mais histórias emocionantes!

#cr7 #portugal #copa2006 #historia #futebol #curiosidades #reelsbrasil",55,09/14/2025 19:35,https://www.instagram.com/reel/DOmzfJxDtGl/,Reel do Instagram,,Total,59528,46431,5800,155,51,44,77,"Portugal are one takeaway from the World Cup semi-finals. Marco Tormenta of England, Cristiano Ronaldo. The man who was involved in the incident with Wayne Rooney that saw Rooney sent off. Cristiano Ronaldo can send Portugal to their first World Cup semi-final in 40 years. It's the waiting over here for Portugal. It is Portugal, World Cup semi-finalists. And England, as you've said, lose on the penalty shootout.","1. O tema principal é um momento histórico do futebol, destacando um pênalti decisivo de Cristiano Ronaldo.
2. Visualmente, a imagem mostra um campo de futebol com uma disputa de pênaltis entre Inglaterra e Portugal.
3. A emoção transmitida é de tensão e vitória, com uma mensagem de conquista esportiva.
4. Este é um conteúdo de entretenimento focado em esportes.",0.12920247248605457,1
17901850641364167,17841477084281345,centraldosfatos,CENTRAL DOS FATOS - Curiosidades e Fatos,"Nós informamos que a ASUS revelou um monitor revolucionário com capacidade de atualização de 720Hz, superando os limites da percepção visual humana. Este avanço tecnológico, apresentado hoje, redefine a experiência visual ao eliminar completamente o desfoque de movimento e reduzir a latência a níveis quase imperceptíveis. 
 
Desenvolvido com um painel OLED de última geração, o monitor combina taxas de atualização ultrarrápidas com tempos de resposta quase instantâneos, garantindo precisão de cor e contraste sem fantasmas. Enquanto jogadores competitivos se beneficiam em milissegundos, o verdadeiro marco é a superação dos limites sensoriais humanos pela tecnologia. 
 
Acompanhe nossa cobertura para mais detalhes sobre essa inovação que transforma a relação entre ação e percepção.

Para mais notícias ➡️ @centraldosfatos
#noticia #mundo #informacao #atualidade #hoje #tecnologia #inovacao",32,02/01/2026 14:32,https://www.instagram.com/reel/DUO26F7jaMX/,Reel do Instagram,,Total,3784,3145,357,45,4,1,18,,"1. O tema principal é a tecnologia de telas OLED da ASUS com alta taxa de atualização.
2. Visualmente, a imagem mostra um monitor em uma sala escura, destacando o design do produto.
3. A emoção transmitida é de inovação e avanço tecnológico, sugerindo superação dos limites visuais humanos; é um conteúdo de tecnologia.",0.12813990461049285,1
18017344199589670,17841477084281345,centraldosfatos,CENTRAL DOS FATOS - Curiosidades e Fatos,"Cha Sa-soon tentou a carteira por quase cinco anos de provas teóricas — 950 tentativas — até passar; na prática, chegou a 960 no total. Moradora rural na Coreia do Sul, ela só queria dirigir para visitar os filhos e levar produtos da horta ao mercado. A persistência virou notícia, anúncio e, principalmente, um lembrete de que métricas de esforço também contam histórias. 

No fim, a vitória não foi só dela: instrutores e público adotaram a torcida. É sobre resiliência aplicada — como treinar modelo até convergir ou insistir num bug até o “aha!”. Inspire-se, salve esta história e siga para mais conteúdo que cruza tecnologia, cultura e gente.

#resiliencia #aprendizado #motivacao #coreiadosul #historia #cultura #carteira #inovacao",7,09/14/2025 20:15,https://www.instagram.com/reel/DOm4HlsgVzc/,Reel do Instagram,,Total,2861,1330,166,2,0,2,1,,"1. O tema principal é determinação e perseverança.
2. Visualmente, uma senhora está sorrindo enquanto segura sua carteira de motorista.
3. A mensagem transmitida é de superação e resiliência, encorajando a persistência.
4. O conteúdo é de entretenimento e inspiração.",0.12781954887218044,1
